Planet id,Planet cloud_percent,Planet snow_ice_percent,Planet capture_time,planet_geometry,Landsat ID,Landsat cloud_cover_right,Landsat timestamp,Landsat geometry,time_diff
20230308_212634_27_2413,22,55,2023-03-08 21:26:34.271269+00:00,"POLYGON ((-153.94426019444188 62.373192348054005, -154.05271232200275 62.203014062972755, -153.44359925995448 62.1176866193498, -153.33281028881606 62.286498160984856, -153.94426019444188 62.373192348054005))",LC08_071017_20230308,36.28,2023-03-08 21:26:09+00:00,"POLYGON ((-153.94426019444188 62.373192348054005, -154.05271232200275 62.203014062972755, -153.44359925995448 62.1176866193498, -153.33281028881606 62.286498160984856, -153.94426019444188 62.373192348054005))",0 days 00:00:25.271269
20230325_103503_19_240c,11,47,2023-03-25 10:35:03.192496+00:00,"POLYGON ((14.19149053098077 68.74533864474154, 14.016949380092381 68.58489963749955, 14.749286454296959 68.47723049901894, 14.92757828649254 68.63711880250699, 14.19149053098077 68.74533864474154))",LC08_199012_20230325,29.1,2023-03-25 10:35:05+00:00,"POLYGON ((14.19149053098077 68.74533864474154, 14.016949380092381 68.58489963749955, 14.749286454296959 68.47723049901894, 14.92757828649254 68.63711880250699, 14.19149053098077 68.74533864474154))",0 days 00:00:01.807504
20230329_033637_63_2414,12,71,2023-03-29 03:36:37.635705+00:00,"POLYGON ((112.86670966845875 61.36229369112171, 112.7643084292139 61.19772927691361, 113.33313810958171 61.11430295824499, 113.43832258301353 61.27809850423879, 112.86670966845875 61.36229369112171))",LC08_131017_20230329,17.69,2023-03-29 03:36:48+00:00,"POLYGON ((112.86670966845875 61.36229369112171, 112.7643084292139 61.19772927691361, 113.33313810958171 61.11430295824499, 113.43832258301353 61.27809850423879, 112.86670966845875 61.36229369112171))",0 days 00:00:10.364295
20230402_144322_97_2402,11,54,2023-04-02 14:43:22.972799+00:00,"POLYGON ((-51.641910639885964 63.720845611371004, -51.760172507603436 63.55740137438554, -51.14933300023194 63.46856831194577, -51.027832338459326 63.631195334250606, -51.641910639885964 63.720845611371004))",LC08_006015_20230402,10.91,2023-04-02 14:43:24+00:00,"POLYGON ((-51.641910639885964 63.720845611371004, -51.760172507603436 63.55740137438554, -51.14933300023194 63.46856831194577, -51.027832338459326 63.631195334250606, -51.641910639885964 63.720845611371004))",0 days 00:00:01.027201
20230417_072528_39_2414,60,16,2023-04-17 07:25:28.396709+00:00,"POLYGON ((55.07465005478232 60.90292869684359, 54.97830262763813 60.739344466035185, 55.536258141421655 60.65998326690584, 55.63534264323504 60.82195277106271, 55.07465005478232 60.90292869684359))",LC08_168018_20230417,80.49,2023-04-17 07:25:35+00:00,"POLYGON ((55.07465005478232 60.90292869684359, 54.97830262763813 60.739344466035185, 55.536258141421655 60.65998326690584, 55.63534264323504 60.82195277106271, 55.07465005478232 60.90292869684359))",0 days 00:00:06.603291
20230418_094613_93_2426,56,25,2023-04-18 09:46:13.938775+00:00,"POLYGON ((25.576334120665916 67.90473380260805, 25.4199975868506 67.74611219216098, 26.11712884868125 67.64613589563362, 26.2775960752846 67.80365391216412, 25.576334120665916 67.90473380260805))",LC08_191013_20230418,77.79,2023-04-18 09:45:44+00:00,"POLYGON ((25.576334120665916 67.90473380260805, 25.4199975868506 67.74611219216098, 26.11712884868125 67.64613589563362, 26.2775960752846 67.80365391216412, 25.576334120665916 67.90473380260805))",0 days 00:00:29.938775
20230418_094636_32_2426,46,46,2023-04-18 09:46:36.328603+00:00,"POLYGON ((24.30151524069267 66.55137152123815, 24.16036344461559 66.3918210398663, 24.823830208894424 66.29647150250749, 24.968749628932347 66.45501502085867, 24.30151524069267 66.55137152123815))",LC08_191014_20230418,12.72,2023-04-18 09:46:08+00:00,"POLYGON ((24.30151524069267 66.55137152123815, 24.16036344461559 66.3918210398663, 24.823830208894424 66.29647150250749, 24.968749628932347 66.45501502085867, 24.30151524069267 66.55137152123815))",0 days 00:00:28.328603
20230420_143108_00_2413,64,20,2023-04-20 14:31:08.001451+00:00,"POLYGON ((-49.67350564049242 62.06541190863735, -49.77621581097134 61.898683861409545, -49.1961503460181 61.818342534757946, -49.092571545096675 61.983837887177586, -49.67350564049242 62.06541190863735))",LC08_004017_20230420,65.63,2023-04-20 14:31:36+00:00,"POLYGON ((-49.67350564049242 62.06541190863735, -49.77621581097134 61.898683861409545, -49.1961503460181 61.818342534757946, -49.092571545096675 61.983837887177586, -49.67350564049242 62.06541190863735))",0 days 00:00:27.998549
20230429_192205_75_2414,45,16,2023-04-29 19:22:05.755259+00:00,"POLYGON ((-121.39312161342858 62.72626589566918, -121.50620065765212 62.56694895143858, -120.92659886916144 62.477722481963674, -120.80931214025286 62.63729792841148, -121.39312161342858 62.72626589566918))",LC08_051016_20230429,67.35,2023-04-29 19:21:39+00:00,"POLYGON ((-121.39312161342858 62.72626589566918, -121.50620065765212 62.56694895143858, -120.92659886916144 62.477722481963674, -120.80931214025286 62.63729792841148, -121.39312161342858 62.72626589566918))",0 days 00:00:26.755259
20230429_192219_98_2414,21,22,2023-04-29 19:22:19.984859+00:00,"POLYGON ((-121.99979120902327 61.85335793911016, -122.1077572449626 61.693767032273556, -121.54255744216711 61.60641181247243, -121.43136687990221 61.766437500241004, -121.99979120902327 61.85335793911016))",LC08_051017_20230429,45.67,2023-04-29 19:22:03+00:00,"POLYGON ((-121.99979120902327 61.85335793911016, -122.1077572449626 61.693767032273556, -121.54255744216711 61.60641181247243, -121.43136687990221 61.766437500241004, -121.99979120902327 61.85335793911016))",0 days 00:00:16.984859
20230503_122053_44_2414,21,46,2023-05-03 12:20:53.443154+00:00,"POLYGON ((-14.401375711539625 65.09322465944446, -14.532910235211043 64.93543092005845, -13.907109409797334 64.8396586338466, -13.771033720394346 64.99784290006183, -14.401375711539625 65.09322465944446))",LC08_216014_20230503,17.81,2023-05-03 12:20:34+00:00,"POLYGON ((-14.401375711539625 65.09322465944446, -14.532910235211043 64.93543092005845, -13.907109409797334 64.8396586338466, -13.771033720394346 64.99784290006183, -14.401375711539625 65.09322465944446))",0 days 00:00:19.443154
20230515_223754_57_240c,20,73,2023-05-15 22:37:54.579214+00:00,"POLYGON ((-166.28392380113672 68.79504792349454, -166.45407661654167 68.63454858383264, -165.72045274511402 68.53011123921513, -165.54626266140951 68.68942533008054, -166.28392380113672 68.79504792349454))",LC08_083012_20230515,55.18,2023-05-15 22:37:37+00:00,"POLYGON ((-166.28392380113672 68.79504792349454, -166.45407661654167 68.63454858383264, -165.72045274511402 68.53011123921513, -165.54626266140951 68.68942533008054, -166.28392380113672 68.79504792349454))",0 days 00:00:17.579214
20230515_223756_60_240c,27,67,2023-05-15 22:37:56.608714+00:00,"POLYGON ((-166.4160485007192 68.67219569551114, -166.58436206755582 68.51157183390336, -165.8541383620374 68.40761279447342, -165.68190282167873 68.56711678953349, -166.4160485007192 68.67219569551114))",LC08_083012_20230515,55.18,2023-05-15 22:37:37+00:00,"POLYGON ((-166.4160485007192 68.67219569551114, -166.58436206755582 68.51157183390336, -165.8541383620374 68.40761279447342, -165.68190282167873 68.56711678953349, -166.4160485007192 68.67219569551114))",0 days 00:00:19.608714
20230515_223758_63_240c,23,74,2023-05-15 22:37:58.638214+00:00,"POLYGON ((-166.543639544462 68.55054499037747, -166.71051204312772 68.38985058712771, -165.98386491628565 68.28623643971271, -165.81298353062772 68.44585068011565, -166.543639544462 68.55054499037747))",LC08_083012_20230515,55.18,2023-05-15 22:37:37+00:00,"POLYGON ((-166.543639544462 68.55054499037747, -166.71051204312772 68.38985058712771, -165.98386491628565 68.28623643971271, -165.81298353062772 68.44585068011565, -166.543639544462 68.55054499037747))",0 days 00:00:21.638214
20230609_155647_20_2402,16,67,2023-06-09 15:56:47.203627+00:00,"POLYGON ((-68.78251223814988 63.87116429815135, -68.90129236498963 63.70708719352808, -68.30156455821344 63.621701422812535, -68.1818075471348 63.78591941885458, -68.78251223814988 63.87116429815135))",LC08_018015_20230609,87.73,2023-06-09 15:57:14+00:00,"POLYGON ((-68.78251223814988 63.87116429815135, -68.90129236498963 63.70708719352808, -68.30156455821344 63.621701422812535, -68.1818075471348 63.78591941885458, -68.78251223814988 63.87116429815135))",0 days 00:00:26.796373
20230617_213515_19_2440,23,49,2023-06-17 21:35:15.194947+00:00,"POLYGON ((-53.749913370801416 81.36144129778403, -54.69009138165679 81.46651670619437, -55.82623842216569 81.22722868574316, -54.90413534562422 81.12549932821142, -53.749913370801416 81.36144129778403))",LC08_058243_20230617,39.23,2023-06-17 21:35:26+00:00,"POLYGON ((-53.749913370801416 81.36144129778403, -54.69009138165679 81.46651670619437, -55.82623842216569 81.22722868574316, -54.90413534562422 81.12549932821142, -53.749913370801416 81.36144129778403))",0 days 00:00:10.805053
20230627_235127_21_2460,13,65,2023-06-27 23:51:27.218990+00:00,"POLYGON ((-92.86951017523792 80.89730508201622, -93.80701976454638 80.99282190726592, -94.80059073626884 80.74153909569839, -93.87120180880251 80.6483394539047, -92.86951017523792 80.89730508201622))",LC08_080244_20230627,53,2023-06-27 23:51:53+00:00,"POLYGON ((-92.86951017523792 80.89730508201622, -93.80701976454638 80.99282190726592, -94.80059073626884 80.74153909569839, -93.87120180880251 80.6483394539047, -92.86951017523792 80.89730508201622))",0 days 00:00:25.781010
20230629_220021_34_2439,11,30,2023-06-29 22:00:21.344132+00:00,"POLYGON ((-62.33021786543062 80.76096896695809, -63.23647223502957 80.85897843628535, -64.24076908814602 80.61359589114655, -63.34655956250902 80.51694924352013, -62.33021786543062 80.76096896695809))",LC08_062243_20230629,10.57,2023-06-29 22:00:16+00:00,"POLYGON ((-62.33021786543062 80.76096896695809, -63.23647223502957 80.85897843628535, -64.24076908814602 80.61359589114655, -63.34655956250902 80.51694924352013, -62.33021786543062 80.76096896695809))",0 days 00:00:05.344132
